Submitted By:	Brand	Promotion/Campaign Name	Promotion Type	Objective and Description (Stakeholder facing promotion description)	Consumer Target (Leisure, Group, Business Transient) 	Markets Impacted	In-Market Start Date	In-Market End Date	Events	Media	Content	Direct Mail	Email	On Property	M.Com	SPG.com	Marriott Rewards	SPG Loyalty	The Ritz-Carlton Rewards	PR	Social	Other Channels	M Live Inclusion	STE Inclusion	Partnership	LANDING PAGE URL	CREATIVE URL
Linda Cain	ALL STARWOOD BRANDS, Starwood preferred Guests	Aeromexico Club Premier bonus promotion	rewards	SPG Acquisition promotion to motivate Club Premier members to book CALA hotels in order to receive bonus SPG points which can be transferred to their Club Premier account at a future date	Leisure and Business travel	CALA	15/03/17	15/06/17			X		X					X			X	Club Premier newsletter, website partner promotions			X		
Linda Cain	ALL STARWOOD BRANDS, Starwood preferred Guests	Aeromexico Club Premier transfer bonus 	rewards	Motivate Club Premier members to use their SPG points by transferring Starpoints to their Club Premier account - drives awareness of the partnership and engagement with SPG	Leisure and Business travel	CALA	15/06/17	30/06/17			X		X					X			X	Club Premier newsletter, website partner promotions			X		
Linda Cain	Starwood preferred Guests	New Openings bonus promo - Q3-4	rewards	Leverage SPG channels to promote hotel openings in the last 6 months with a flat bonus offer	Leisure and Business travel	CALA	15/09/17	15/12/17			X		X			X		X			X					TBD	
Ana Tomicevic	Marriott Hotels	TED Fellows Event in Bogota	branding	Leveraging the Global partnership with TED, CALA will host a series of TED Fellows events with key TED speakers from the Region. The objective is to generate buzz and awareness in the local market, as well as panregionally through PR & Social initiatives.	Business Transient 	CALA	19/10/17	19/10/17	X		X			X			X	X		X	X		X		X		
Linda Cain	Starwood preferred Guests	SPG Moments Event - Formula One - Mexico City and Sao Paulo	rewards	Drives member engagement through access to VIP packages during the F1 in both Mexico City and Sao Paulo	Leisure Travel	CALA	27/10/17	11/04/17								X		X								www.moments.com	
Linda Cain	Starwood preferred Guests	SPG Moments Event- Pro Golf Clinic - Los Cabos	rewards	Drives member engagement through access to exclusive experiences. Private golf clinic with pro golfer	Leisure Travel	CALA	28/04/17	30/04/17								X		X		X	X					www.moments.com	
Laura Alfonsin	ALL STARWOOD BRANDS	CALA Paid Search campaign	none	Leverage Paid Search to provide mid-funnel visibility across Destination and Property travel terms to drive acquisition of new consumers and occupancy	Leisure	CALA	ongoing	ongoing		X																	
Laura Alfonsin	ALL STARWOOD BRANDS	CALA Display Campaign	none	Mix of targeted digital channels for prospecting of new users and re-marketing to consumers who have shown travel intent to CALA destinations 	Leisure, Business Transient	CALA	ongoing	ongoing		X																	
Laura Alfonsin	ALL STARWOOD BRANDS	MetaSearch campaign Q1	none	Boost CALA room listings across TripAdvisor by managing bids to achieve higher position for the brand and drive users directly to the property page for a conversion	Leisure	CALA	ongoing	ongoing		X												x					
Laura Alfonsin	ALL STARWOOD BRANDS	TripAdvisor Business Listings	package	Promote specific properties and deals through TripAdvisor business listings. 	Leisure	CALA	ongoing	ongoing		X												x					
Laura Alfonsin	St Regis, The Luxury Collection, W Hotels	  Sunsational Savings & Suites Booking  	package	A free night, up to a $150 resort credit (a room upgrade and/or breakfast could also be included). Min LOS required. Offer vary by hotel.	Leisure	CALA	Ongoing	31/12/17						X		X				X	X						
Linda Cain	ALL STARWOOD BRANDS	Mastercard annual regional promotion 	rate	Up to 20% (min 5%) discount and up to $100 credit per stay with minimum stay requirement. Discount level and stay credit vary by hotel.	Leisure	CALA, US Resorts	Ongoing	31/12/17		X		X				X		X		X	X	MASTERCARD			X	www.starwoodhotels.com/lacmastercard	
Kerstin Sachl	ALL BRANDS	Casa Marriott	branding	Invite media to Marriott to events at hotels during Fashion Weeks in CALA to create awareness about Marriott hotels. Organize event with fashion influencers, lifestyle media, loyalty members and more.	Leisure	CALA	TBD	TBD		X										X							
Kerstin Sachl	ALL BRANDS	New Day, New Marriott	branding	Support need markets and drive regional awareness by inviting influencers on a trip through Peru to wake up in a different Marriott everyday.	Leisure	Peru	TBD	TBD												X							
Kerstin Sachl	Courtyard Marriott	Courtyard FIFA Qualifiers	branding	Support need markets and properties and drive awareness to the Courtyard brand.	Leisure	CALA	08/31/2017	10/10/2017												X							
Michael Pool	ALL MARRIOTT BRANDS	Mexico Airline Bonus miles	rewards	Drive awarness and exposure for all Mexico properties in Q4 via multilple airline promotions.  Guests will be able to earn 2000 bonus miles (full service) or 500 bonus miles (select service) for a 2 night minimum stay	Leisure, Business Transient	Mexico	09/08/17	15/1/18			X						X				X	x					
Luz Fleming	ALL BRANDS	Sun Up Your Meeting	other	Drive group demand/revenue for Q2, Q3 & Q4 in 2018 Increase MR, RCR, and SPG awareness among meeting planners by cross promoting both loyalty programs.  	Group	CALA Resorts	09/01/17	31/10/17					X		X	X	X	X	X	X	X	CVENT				TBD	
Melina Solin	ALL BRANDS	Q4 Resort Promotion	rate	Drive high ADR and RevPar during Q4 while driving premium and suite bookings. Offer includes resort credits versus discounted rates. 	Leisure	CALA	15/10/17	15/12/17		X	X		X		X	X					X						
Melina Solin	ALL BRANDS	Q4 Core Promotion	rate	Drive weekend business during holiday/festive season with a discounted minimum length of stay offer.	Leisure, Business Transient	CALA	15/10/17	15/12/17		X	X		X		X	X					X						
Melina Solin	ALL BRANDS	2017 Cyber Sale	rate	Drive bookings during need periods for Q4 and into 2018 with a highly aggressive offer at key hotels throughout the Americas. 	Leisure, Business Transient	CALA	23/11/17	27/11/17		X	X		X		X	X					X						
Linda Cain	ALL STARWOOD BRANDS	Travel Propensity Study - Mexico and Puerto Rico	other	Identify Mastercard cardholders in the SPG member base with travel propensity to visit Mexico and Puerto Rico in Q4 2017 and Q1 2018.  Send SPG promo to targeted audience	Leisure, Business Transient	CALA	01/12/17	01/03/18					X					X							X	TBD	
Linda Cain	Luxury Brands	Mastercard Affluent Promo - CALA	package	Drive bookings for our luxury brands from affluent Mastercard cardholders with Black/World Elite/Platinum cards	Leisure, Business Transient	CALA	01/12/17	31/05/18														bank channels			X	TBD	
Linda Cain	Starwood preferred Guests	Aeromexico and Aeroplan bonus SPG promo	rewards	Bonus Starpoints offer for Club Premier and Aeroplan airline partner program to drive stays in Q4	Leisure, Business Transient	CALA	15/09/17	15/12/17										X				Airline channels			X	  http://latin-america.starwoodoffers.com/clubpremierbono  	
Luz Fleming	Fairfield Inn Marriott	Fiarfield by Marriott 30th Anniversary	other	Create a multi-pronged activation to celebrate Fairfield’s 30 year milestone that generates awareness for the brand and contributes to the brand’s distinct personality. Generate awareness through -Public Relations impressions -Social engagement -On-property guest engagement Engage associates with annual Rally Day and Rally to Serve celebration events highlighting the 30th anniversary  	Leisure	CALA	23/10/17	27/10/17		X				X							X				X		
Luz Fleming	Fairfield Inn Marriott	Fairfield by Marriott Rally To Serve Day	none	Hold Fairfield’s largest Rally to Serve day ever Partner with Habitat for Humanity to host sponsored home builds in 10-12 key global markets, inviting local properties to participate Host a 30th anniversary media and influencer event at one or more of the builds with a prominent personality participating in the build 	Leisure	CALA	26/10/17	26/10/17												X	X						
