Date	Owner	Owner SubRegion	Campaign Group	Market Scope	Destination - Featured Market	Market - more	Ongoing Campaign	Program Type	Offer	Segment	Campaign Name	Description	Sell Start Date	Sell End Date	Stay Start Date	Stay End Date	Brand	Events	Media	Content	Direct Mail	Email	On Property	Brand-dot-Com	Loyalty 	PR	Social	Other Channels
Aug-17	Chelsea Reich	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Atlanta, GA	NA	Yes	Focus Marketing	Rate Only	Leisure	Atlanta - is Calling	Save up to 15% off at Starwood Hotels of Atlanta	1/1/2017	9/30/2017	1/1/2017	9/30/2017	SI, WI, WH, ST, MD	No	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes	Sojern, TripAdvisor, Travelzoo
Jul-17	Emily Fleishaker	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	No	Field Marketing	Multiple	Leisure	New York - One Up Your Experience in NYC this Summer	Experience  local and upgrade packages or book our best available rates	11/10/2017	9/5/2017	5/15/2017	9/5/2017	SI, WI, WH, LC, ST, MD, AH, EL, 4P	No	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	
Oct-17	Emily Fleishaker	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	No	Field Marketing	Multiple	Leisure	New York - Trick or Suite Limited Time Offer	Promote Suite Temptations offer for bookings through 10/31 to receive great rates on suites plus Starpoints for a limited time	10/15/2017	10/31/2017	10/15/2017	12/31/2017	WI, WH, SI, LC, MD	No	No	No	No	Yes	No	Yes	No	No	No	
Jul-17	Emily Fleishaker	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	Yes	Field Marketing	Rate Only	Leisure	New York - The City is Calling with Savings up to 15%	Save up to 15% in NYC with DAILY rates	ongoing	ongoing	ongoing	ongoing	SI, WI, WH, LC, ST, MD, AH, EL, 4P	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	OTAs
Jul-17	Emily Fleishaker	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	No	Field Marketing	Multiple	Leisure	New York - Winter in the City Campaign	Experience NYC's top winter activites with exclusive savings and insider offers	11/01/2017	3/31/2018	11/1/2017	3/31/2018	SI, WI, WH, LC, ST, MD, AH, EL, 4P	No	Yes	Yes	No	Yes	No	Yes	Yes	No	Yes	
Jul-17	Emily Fleishaker	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	Yes	Field Marketing	Multiple	Group	New York - 2017 B2B Campaign	Earn Starpoints and explore SPG Pro offers across hotels in NYC	7/31/2017	12/31/2017	1/1/2017	12/31/2018	SI, WI, WH, LC, ST, MD	No	Yes	No	No	No	No	Yes	No	No	No	Paid Search
Jul-17	Emily Fleishaker	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	No	Field Marketing	Multiple	Group	New York - NYC Cvent Campaign	Explore great group rates and earn Starpoints with SPG Pro	5/1/2017	7/31/2017	5/1/2017	12/31/2018	SI, WI, WH, LC, ST, MD, AH	No	No	No	No	No	No	Yes	No	No	No	Cvent 
Jul-17	Emily Fleishaker	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	No	Field Marketing	Multiple	Group	New York - NYC Meeting Myths Busted Campaign	Find great group rates and earn Starpoints in NYC, the best location for your upcoming event	8/1/2017	10/31/2017	1/1/2017	12/31/2018	SI, WI, WH, LC, ST, MD	No	Yes	No	No	No	No	Yes	No	No	No	
Aug-17	Erin Devaney	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	New England	No	Field Marketing	Rate Only	Leisure	New England  - Seasonal Awareness - Your summer adventure is calling. Save up to 15% in New England.	Book by Aug 31 to enjoy savings up to 15% in New England through Sept 4.	5/15/2017	8/31/2017	5/15/2017	9/5/2017	SI, WI, WH, LC, AH, 4P, EL	No	No	No	Yes	Yes	No	Yes	No	No	Yes	
Aug-17	Erin Devaney	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	New England	No	Field Marketing	Package	Leisure	New England - Fall Foliage	Fall for savings in New England with our best rates including breakfast for two.	9/11/2017	10/31/2017	9/11/2017	11/30/2017	SI, WI, WH, LC, AH, 4P, EL	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	SPG Weekends Channel Fall Article, Kayak Ads, Trip Advisor, SPG estatement, STE
Jul-17	Francine Guttman	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Philadelphia, PA-NJ	NA	Yes	Field Marketing	Package	Leisure	Greater Philly + Delaware - Get points + breakfast	Stay on Thursday-Sunday nights (Friday or Saturday required) and enjoy:  1,000 Marriott Rewards bonus points per night, free breakfast, late checkout + free Internet	6/19/2017	12/31/2017	6/19/2017	12/31/2017	RI, SH, CY	No	No	No	No	Yes	No	Yes	Yes	No	No	CVB
Jul-17	Heather Stone	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Baltimore, MD		Yes	Field Marketing	Package	Leisure	Maryland - Government Family Weekend Package in MD!	 10 percent off retail rate with Government ID	6/14/2017	6/8/2018	6/14/2017	6/8/2018	CY, RI	No	No	Yes	No	Yes	Yes	Yes	No	No	No	
Jul-17	Heather Stone	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Baltimore, MD		Yes	Field Marketing	Package	Leisure	Baltimore - Sports Group Win More in Baltimore, MD!	10 percent discount off retail weekend rates for sports groups	3/20/2017	1/27/2018	3/20/2017	1/27/2018	CY, RI	No	No	No	No	Yes	Yes	Yes	No	No	No	
Jul-17	Heather Stone	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Baltimore, MD		Yes	Field Marketing	Package	Leisure	Maryland - Upgrade your stay in MD!	Enjoy up to 50 percent off premium room stays 	5/16/2017	12/31/2017	5/16/2017	12/31/2017	CY, RI	No	No	Yes	No	Yes	Yes	Yes	No	No	No	
Aug-17	Ismalis Mendoza	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Miami/Hialeah, FL/Ft. Lauderdale 	N/A	Yes	Field Marketing	Rate Only	Leisure	South Florida - Fall Sale	Book early and save 20% on your stay in Florida this fall	8/1/2017	10/30/2017	8/7/2017	12/22/2017	MH, CY, RI, FI, SH, AC	No	No	Yes	No	Yes	Yes	Yes	No	No	Yes	Trip Advisor, Search, OTA
Aug-17	Ismalis Mendoza	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Orlando, FL	N/A	Yes	Field Marketing	Rate Only	Leisure	Orlando - Florida Fall Sale	Book early and save 20% on your stay in Florida this fall	8/1/2017	10/30/2017	8/7/2017	12/22/2017	MH, CY, RI, FI, SH, AC	No	No	Yes	No	Yes	Yes	Yes	No	No	Yes	Trip Advisor, Search, OTA
Sep-17	Ismalis Mendoza	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Florida, FL		No	Field Marketing	Package	Leisure	Florida - A Brand New Stay	$10 hotel credit per night		12/31/2017		12/31/2017	CY, MHR, RI, SH	No	No	No	No	Yes	No	Yes	Yes	No	Yes	German and Spanish eNewsletter, OTA Tagging, TripAdvisor
Aug-17	Ismalis Mendoza	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market		Florida	Yes	Field Marketing	Rate Only	Leisure	Florida - Fall for Florida Fall Savings	Save up 20% when you book 7 days in advance on stays from August 7 - December 22nd	8/1/2017	10/31/2017	8/7/2017	12/22/2017	MI, AC, CY, SH, FI, RI	No	No	Yes	No	Yes	No	Yes	No	Yes	Yes	Tripadvisor, Visit Orlando, Miami GMCVB, OTA, Search, CLPG,
Oct-17	Ismalis Mendoza	US EAST	Loyalty	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Florida, FL	Florida	No	Field Marketing	Loyalty Offers (MI, RC & SW)	Leisure	Florida - Welcomes You	Florida Full Service and MSB AMPS offer Double Bonus points for your stay																AMPs offer
Oct-17	Ismalis Mendoza	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Florida, FL	Florida	No	Field Marketing	Package	Leisure	Florida - A Brand New Stay at our Florida Redesigned Properties	Receive a $10 nightly credit when you stay at one of our newly redesigned MSB properties in Florida					RI	No	No	No	No	Yes	Yes	No	No	No	Yes	METT, Socail media, Tripadvisor
Aug-17	Jessica Effertz	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Chicago, IL	NA	Yes	Field Marketing	Package	Leisure	Chicago - Trick or Suite	Treat yourself to thrilling savings and bonus Starpoints in Chicago when you book by October 31, 2017	8/18/2017	10/31/2017	8/18/2017	1/31/2018	WI, SI, TREMONT, LC, WH, MD, AL, 4P, SI	No	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes	Trip Advisor, Search, OTA
Jul-17	JoAnne Kim	US EAST	Regional Portfolio	Multi-Regional - Hotels from Two or more Regions (but not all) within One Single participating Division	Eastern US	NA	Yes	Field Marketing	Package	Leisure	East - Suite Summer Experiences	Reconnect package (multi-night stay with hotel credits) featuring Suite option	5/15/2017	8/30/2017	5/15/2017	8/30/2017	RC	No	Yes	Yes	No	Yes	No	Yes	Yes	Yes	Yes	Trip Advisor, Search, OTA
Jul-17	JoAnne Kim	US EAST	Regional Portfolio	Multi-Regional - Hotels from Two or more Regions (but not all) within One Single participating Division	Eastern US	NA	Yes	Field Marketing	Package	Leisure	East -Holiday Experiences	Reconnect package  (Multi-night stay with hotel credits)	9/1/2017	12/31/2017	9/1/2017	12/31/2017	RC	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	Trip Advisor, OTA
Aug-17	JoAnne Kim	US EAST	Regional Portfolio	Multi-Regional - Hotels from Two or more Regions (but not all) within One Single participating Division	Eastern US	NA	No	Field Marketing	Loyalty Offers (MI, RC & SW)	Leisure	East - The Ritz-Carlton  - Double Points for Summer Weekend Suite Stays - AMPS Offer	Double Points for Summer Weekend Stays at 13 hotels	5/25/2017	9/10/2017	5/25/2017	9/10/2017	RCR	No	No	No	No	Yes	No	No	No	No	No	
Jul-17	Kewanna Donaldson	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY		Yes	Field Marketing	Package	Leisure	New York - American Girl 	Guests receive a doll-sized travel bed for their American Doll	6/29/2017	12/31/2017	6/29/2017	12/31/2017	MH	No	No	No	No	Yes	Yes	Yes	No	No	No	
Sep-17	Kristen Garcia	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Nashville, TN		Yes	Field Marketing	Package	Leisure	Tennessee - Sip and Savor In Nashville: Two Cocktails Per Night	Happy Hour just got happier with two (2) cocktails per night are on us!	01/01/17	12/31/17	01/01/17	12/31/2017	BR, CY	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	
Sep-17	Kristen Garcia	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Nashville, TN		Yes	Field Marketing	Package	Leisure	Tennessee - Stay for Breakfast	Get your day off to a great start with breakfast on us! (Two adults and children under 12)	ongoing	ongoing	ongoing	ongoing	MH, BR, CY	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	
Sep-17	Laura Neely	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Birmingham, AL	Yes	Field Marketing	None	Group	Birmingham - B2B Group Marketing Campaign	Double Rewards in Birmingham	03/01/2017	12/31/2017	12/31/2017	12/31/2017	WI, SI, AL	No	Yes	No	No	No	No	No	Yes	No	No	MMGY Media Buy: Paid Search, Display, LinkedIn, Social
Sep-17	Laura Neely	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Birmingham, AL	Yes	Field Marketing	None	Leisure	Birmingham - PLUS Deposits	PLUS Digital Metasearch Bids 	09/15/2017	11/30/2017	09/15/2017	09/15/2017	WI, SI, AL	No	Yes	No	No	No	No	Yes	Yes	No	No	Metasearch Bids
Sep-17	Laura Neely	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Tampa, FL	Yes	Field Marketing	None	Group	Tampa - B2B Marketing Campaign	Planning Has its perks. Enjoy meeting savings in Tampa.	03/01/2017	12/31/2017	03/01/2017	12/31/2017	WI, SI, TP, MD, AL	No	Yes	No	No	No	No	No	Yes	No	No	MMGY Media Buy: Paid Search, Display, LinkedIn, Social
Sep-17	Laura Neely	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Tampa, FL	Yes	Field Marketing	Rate Only	Leisure	Tampa - Take in Tampa	Take in Tampa	01/01/17	12/31/18	01/01/17	12/31/18	WI, SI, TP, MD, AL	No	Yes	No	No	No	No	Yes	No	No	Yes	Holiday LPC
Aug-17	Laura Neely	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Tampa, FL	Yes	Field Marketing	None	Group	Tampa - B2BMarketing Campaign	Take in Tampa with Starwood Hotels & Resorts	ongoing	ongoing	ongoing	ongoing	WI, SI, TP, MD, AL	No	Yes	No	No	No	No	No	Yes	No	No	Cvent Diamond Plus Ads - FLL & ORL
Aug-17	Laura Neely	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Tampa, FL	Yes	Field Marketing	None	Group	Tampa - B2BMarketing Campaign	Planning Has its perks. Enjoy meeting savings in Tampa.	ongoing	ongoing	ongoing	ongoing	WI, SI, TP, MD, AL	No	Yes	No	No	No	No	No	Yes	No	No	MMGY Media Buy: Paid Search, Display, LinkedIn, Social
Aug-17	Laura Neely	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Tampa, FL	Yes	Field Marketing	None	Leisure	Tampa - B2C Weekend Channel Content	Weekend City Guide: Tampa, FL	ongoing	ongoing	ongoing	ongoing	WI, SI, TP, MD, AL	No	No	Yes	No	Yes	No	Yes	No	No	Yes	TWC
Aug-17	Laura Neely	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Tampa, FL	Yes	Field Marketing	Rate Only	Leisure	Tampa LPC - BAR1B	Take in Tampa	ongoing	ongoing	ongoing	ongoing	WI, SI, TP, MD, AL	No	Yes	No	No	No	No	No	No	No	Yes	STE
Aug-17	Laura Neely	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Birmingham, AL	Yes	Field Marketing	None	Group	Birmingham - B2BGroup Marketing Campaign	Double Rewards in Birmingham	ongoing	ongoing	ongoing	ongoing	WI, SI, AL	No	Yes	No	No	No	No	No	Yes	No	No	MMGY Media Buy: Paid Search, Display, LinkedIn, Social
Aug-17	Laura Neely	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Birmingham, AL	Yes	Field Marketing	None	Leisure	Birmingham - B2C Weekend Channel Content	An Extra Long Weekend in Birmingham	ongoing	ongoing	ongoing	ongoing	WI, SI, AL	No	No	Yes	No	Yes	No	Yes	No	No	No	B2C Email, TWC
Aug-17	Lauren Mahjoubi	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	Yes	Field Marketing	Package	Leisure	New York - Local Transportation & Breakfast in NYC	Stay in NYC five nights or more and receive two week long metro passes and breakfast for two at participating hotels.	8/2/2017	12/31/2017	8/2/2017	12/31/2017	CY	No	No	No	No	Yes	Yes	Yes	Yes	No	No	
Aug-17	Lauren Mahjoubi	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	Yes	Field Marketing	Package	Leisure	New York - $50 Hotel Credit in NYC	Stay three nights or more in NYC and get a $50 hotel credit or 10% off regular rates.	8/2/2017	12/31/2017	8/2/2017	12/31/2017	CY, SH	No	No	No	No	Yes	Yes	Yes	Yes	No	No	
Aug-17	Lauren Mahjoubi	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	Yes	Field Marketing	Rate Only	Leisure	New York - Stay Longer, Save More in NYC	Save 10-20% when you stay in New York City four nights or more!	8/2/2017	12/31/2017	8/2/2017	12/31/2017	CY, SH	No	No	No	No	Yes	Yes	Yes	Yes	No	No	
Aug-17	Lauren Mahjoubi	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	Yes	Field Marketing	Loyalty Offers (MI, RC & SW)	Leisure	New York - NYC: 17% off weekends 	Stay 3 nights or more Thursday - Sunday and receive 17% off.	7/13/2017	10/5/2017	7/13/2017	10/5/2017	CY, SH	No	No	No	No	Yes	No	Yes	Yes	No	No	
Aug-17	Lauren Mahjoubi	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	Yes	Field Marketing	Package	Leisure	New York - Best of New York City	Package for two: 2 adult NYC Explorer passes, pocket guide and breakfast for 2        /       Family Package includes everything in Package for two plus 2 child passes and breakfast for 2 kids	1/1/2017	12/31/2017	1/1/2017	12/31/2017	CY, SH	No	No	No	No	Yes	No	Yes	Yes	No	No	
Aug-17	Lauren Mahjoubi	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New York, NY	NA	Yes	Field Marketing	Rate Only	Leisure	New York - Advance Purchase	Save up to 15% when you book 3-21 days in advance	1/1/2017	12/31/2017	1/1/2017	12/31/2017	CY, SH	No	No	No	No	Yes	No	Yes	No	No	No	
Jul-17	Lauren Tucker	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Boston, MA	NA	Yes	Field Marketing	Rate Only	Leisure	Boston - Seasonal Awareness - 15% Savings	Promotes pre-paid rates - Save up to 15%	1/1/2017	12/31/2017	1/1/2017	12/31/2017	SI, WI, WH, LC, 4P, AL, EL	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	Trip Advisor, Kayak
Jul-17	Lauren Tucker	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Boston, MA	NA	Yes	Field Marketing	Multiple	Leisure	Boston - Elevated Room Sale- Book and save up to 40% on our best rooms	Promotes Suite Temptations, BARSTE & property specific upgraded room offers	1/1/2017	12/31/2017	1/1/2017	12/31/2017	SI, WI, WH, LC, 4P, AL, EL	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	
Sep-17	Maria DellaCamera	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New Orleans, LA		Yes	Field Marketing	Package	Leisure	AAA  - Brake for Breakfast 	AAA Members can enjoy breakfast in the morning and save 50% on parking. 	08/01/2017	12/31/2017	08/01/2017	12/31/2017	CY					Yes		Yes				CVB Website
Sep-17	Maria DellaCamera	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New Orleans, LA		Yes	Field Marketing	Rate Only	Leisure	New Orleans - AAA Hot Deals - Save up to 20%	AAA Hot Deals - Save up to 20%	01/01/2017	12/31/2017	01/01/2017	12/31/2017	JW, MH, CY, RI, SH					Yes		Yes				CVB Website
Sep-17	Maria DellaCamera	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New Orleans, LA		No	Field Marketing	Rate Only	Leisure	New Orleans - Advance Purchase - Save up to 10%  with Papa Noel Holiday Promotion	Advance Purchase - Save up to 10% when you book 7 days in advance - valid 7 days a week (Metairie and Covington hotels)	09/22/2017	12/31/2017	11/20/2017	12/31/2017	CY, RI					Yes		Yes				
Sep-17	Maria DellaCamera	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New Orleans, LA		Yes	Field Marketing	Package	Leisure	New Orleans - Breakfast for One	Start your day off right with breakfast at The Bistro - valid 7 days a week	01/01/2017	12/31/2017	01/01/2017	12/31/2017	CY					Yes		Yes				
Jul-17	Maria DellaCamera/Kristen Garcia	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New Orleans, LA	NA	Yes	Field Marketing	Package	Leisure	New Orleans - Park & Stay in the Big Easy	Let the Marriott Hotels of New Orleans take care of the parking while you take care of the fun.	3/1/2017	12/31/2017	7/1/2017	12/30/2017	BR, MH, CY, SH, RI	No	No	No	No	Yes	Yes	Yes	No	Yes	Yes	Trip Advisor, Search, OTA
Jul-17	Maria DellaCamera/Kristen Garcia	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New Orleans, LA	NA	Yes	Field Marketing	Package	Leisure	New Orleans - Your Happiest Hour Package	We are making happy hour even happier with two (2) free cocktails per night!	1/1/2017	12/31/2017	1/1/2017	12/31/2017	JW, BR, MH, CY, SH, RI	No	No	No	No	Yes	Yes	Yes	No	Yes	Yes	Trip Advisor, Search, OTA
Jul-17	Maria DellaCamera/Kristen Garcia	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New Orleans, LA	NA	Yes	Field Marketing	Loyalty Offers (MI, RC & SW)	Leisure	New Orleans - Big Rewards in the Big Easy: 2,500 Points Per Night	What is sweeter than beignets and cafe au lait? Earning up to 10,000 bonus points!	7/1/2017	12/30/2017	7/1/2017	12/30/2017	JW, BR, MH, CY, SH, RI	No	No	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Trip Advisor, Search, OTA
Jul-17	Maria DellaCamera/Kristen Garcia	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New Orleans, LA	NA	Yes	Field Marketing	Package	Leisure	New Orleans - Papa Noel Holiday Promotion	Celebrate the holidays New Orleans style with 15% our best available rate!	9/4/2017	11/21/2017	11/20/2017	12/30/2017	JW, BR, MH, CY, SH, RI	No	No	No	No	Yes	Yes	Yes	No	No	Yes	Trip Advisor, Search, OTA
Jul-17	Maria DellaCamera/Kristen Garcia	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	New Orleans, LA	NA	Yes	Field Marketing	Package	Leisure	New Orleans - Longer You Stay, The More You Save	Book seven (7) or more nights and get 10% discount	1/31/2017	12/30/2017	1/31/2017	12/30/2017	JW, BR, MH, CY, SH, RI	No	No	No	No	Yes	Yes	Yes	No	No	Yes	Trip Advisor, Search, OTA
Aug-17	Megan Harney	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	New Orleans, LA	Yes	Field Marketing	None	Group	New Orleans - B2BMarketing Campaign	Planning Has its perks. Enjoy meeting savings in NOLA	ongoing	ongoing	ongoing	ongoing	WI, SI, MD, WH, AL, 4P	No	Yes	No	No	No	No	No	Yes	No	No	MMGY Media Buy: Paid Search, Display, LinkedIn, Social
Aug-17	Megan Harney	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	New Orleans, LA	Yes	Field Marketing	None	Leisure	New Orleans - B2C Weekend Channel Content	Weekend City Guide: NOLA	ongoing	ongoing	ongoing	ongoing	WI, SI, MD, WH, AL, 4P	No	No	Yes	No	Yes	No	Yes	No	No	Yes	TWC
Aug-17	Megan Harney	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	New Orleans, LA	Yes	Field Marketing	Rate Only	Leisure	New Orleans - Papa Noel	Papa Noel Rates this Holiday Season	8/1/2017	12/31/2017	11/19/2017	1/11/2018	WI, SI, MD, WH, AL, 4P	No	Yes	No	No	Yes	No	Yes	No	No	Yes	
Jul-17	Megan Keith	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Philadelphia, PA-NJ	NA	No	Field Marketing	Multiple	Leisure	Philadelphia - Fun in Philadelphia	Get the most of your summer getaway and experience Philadelphia like never before with local experiential offers.	6/1/2017	8/31/2017	6/1/2017	8/31/2017	AH, 4P, WI, SI	No	Yes	No	No	Yes	No	No	No	No	No	Trip Advisor 
Jul-17	Megan Keith	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Philadelphia, PA-NJ	NA	No	Field Marketing	Multiple	Leisure	Philadelphia - Q3 Razorfish	Enjoy seasonal best rates.	7/1/2017	9/30/2017	7/1/2017	9/30/2017	AH, 4P, WI, SI	No	Yes	No	No	No	No	No	No	No	No	Google Display Network, Search
Jul-17	Megan Keith	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Philadelphia, PA-NJ	NA	No	Field Marketing	Multiple	Leisure	Philadelphia - Q4  Seasonal	Enjoy best rates for fall and winter travel.	10/1/2017	12/31/2017	10/1/2017	12/31/2017	AH, 4P, WI, SI	No	Yes	Yes	No	Yes	No	No	No	No	Yes	Kayak
Aug-17	Michele Palmer	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Tampa, FL	Yes	Field Marketing	Rate Only	Leisure	Tampa - Plan Ahead & Save	Book early and save $20 per night on select dates this summer.	8/1/2017	11/30/2017	8/1/2017	12/31/2017	MH, BR	No	No	Yes	No	Yes	Yes	Yes	No	No	Yes	CLPG, key card inserts, merchandising on TripAdvisor, Yelp, M.com deals, METT, Hotel Specials
Sep-17	Narda Rodney	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Baltimore, MD; Rockville, MD	Yes	Field Marketing	Rate Only	Leisure	Baltimore - Rockville: 50% Off Premium Rooms	50% off premium room upgrades over select dates	05/11/2017	12/31/2017	05/11/2017	12/31/2017	CY, RI	No										
Sep-17	Narda Rodney	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Baltimore, MD; Gaithersburg, MD	Yes	Field Marketing	Package	Leisure	Maryland - Government Family Weekend Package	10 percent off retail rate with Government ID	06/09/2017	06/09/2018	06/09/2017	06/09/2018	CY, MHR, RI, SH	No										
Aug-17	Narda Rodney	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Columbia, MD	Yes	Field Marketing	Package	Group	Columbia MD - Sports Package	10% discount off retail weekend rates for sports groups	1/18/2017	1/18/2018	1/18/2017	1/18/2018	CY, RI	No	Yes	Yes	Yes	Yes	No	Yes	No	No	No	
Aug-17	Narda Rodney	US EAST	Destination Cluster	Cluster - Participation of two or more hotels; usually, but not necessarily, within a Single Market	Other - please list in column G	Fairfax, Dulles & Centreville, VA		Field Marketing	Package	Leisure	No VA - Thrive on Long Stays in Northern Virginia	Receive $20 dollar credit at the Market every seven days for long term stays	4/7/2017	11/30/2017	4/7/2017	11/30/2017	CY, RI, SH	No	Yes	Yes	Yes	Yes	No	Yes	No	No	No	
